frdepartureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;travelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
53497.0;17908;KEXI-3;-27886380#1;713070.17;5422197.25;-327723573#2;713499.79;5419755.04;360.0;54215.0;358.0;5719.8;5719.8;-2;54697;55230.74
54957.0;18047;KEXI-3;27391189#0;712517.18;5421117.76;-11812197#1;710381.24;5421685.97;243.0;55467.0;267.0;2664.45;2598.48;-2;56157;56552.88
57355.0;15429;KEXI-3;35048737#1;710360.52;5422855.5;27182739#0;711213.52;5421259.14;289.0;58160.0;516.0;3587.49;2775.29;-2;58555;58948.86
57500.0;16984;KEXI-3;-27690625;710816.1;5422492.11;367435047#2;710260.97;5421641.65;296.0;58004.0;208.0;1862.28;1862.28;-2;58700;59014.74
57729.0;16277;KEXI-3;27391263#2;712280.32;5421121.23;-27100093;710233.12;5422419.28;703.0;58746.0;314.0;3502.26;3436.29;-2;58929;59430.36
59563.0;14310;KEXI-4;-26791785#4;712387.77;5420794.23;27253744#3;710947.27;5423248.74;318.0;60277.0;396.0;4052.66;4052.66;-2;60763;61321.49
60323.0;15446;KEXI-3;-327723573#2;713499.79;5419755.04;-27020768#1;710890.01;5421202.58;549.0;61178.0;306.0;3583.16;3583.16;-2;61523;62008.03
60645.0;17350;KEXI-4;-27544065#0;710510.07;5422669.54;-955794312#3;713534.77;5422015.7;162.0;61256.0;449.0;4143.59;3189.69;-2;61845;62245.85
60994.0;17899;KEXI-4;-27687839#1;712152.1;5422212.61;-27886380#1;713070.17;5422197.25;142.0;61388.0;252.0;2003.89;1427.19;-2;62194;62400.68
61364.0;14875;KEXI-3;-26773155#1;709936.74;5422582.03;289028887;711138.33;5420985.39;355.0;62012.0;293.0;2720.84;2720.84;-2;62564;63024.66
61454.0;18122;KEXI-4;-27886380#1;713070.17;5422197.25;485575719#3;711572.82;5421044.05;61.0;62044.0;529.0;4687.98;3859.66;-2;62654;63196.59
61597.0;18154;KEXI-4;27182858#0;711496.29;5421159.36;27544221#0;709950.17;5422936.24;279.0;62485.0;609.0;5234.89;3571.43;-2;62797;63308.56
62535.0;37067;KEXI-3;-26837775#1;712666.55;5420772.95;-27391993#1;710112.22;5422579.77;281.0;63338.0;522.0;4807.36;4626.17;-2;63735;64423.45
62684.0;15245;KEXI-3;-27100093;710233.12;5422419.28;-27687533#0;711759.71;5422153.87;571.0;63652.0;397.0;3427.53;2454.61;-2;63884;64235.09
63943.0;15732;KEXI-3;4712335#3;711054.83;5421349.13;26791785#8;712324.94;5420556.33;259.0;64435.0;233.0;2063.46;1888.92;-2;65143;65399.65
64562.0;14823;KEXI-3;-27093639#6;712615.65;5420411.58;841157542;711974.86;5421805.84;112.0;65260.0;586.0;5766.77;2446.62;-2;65762;66149.34
