,frdepartureTime,personId,vehicleId,fromLinkId,fromX,fromY,toLinkId,toX,toY,waitTime,arrivalTime,travelTime,travelDistance_m,directTravelDistance_m,fareForLeg,latestDepartureTime,latestArrivalTime
13,34048,16544,KEXI-2,24608752#6,711144.23,5422154.02,-27689484#0,713253.46,5421964.49,253,35014,713,5185.66,2559.09,-2,35248,35652.18
17,34886,15384,KEXI-2,26773082#1,711400.28,5421000.26,239897149#1,710729.99,5422322.04,1004,36480,590,5104.45,2251.03,-2,36086,36467.84
22,39568,15286,KEXI-1,26791742#3,711342.6,5421116.71,376292334#1,710056.43,5421942.35,315,40093,210,1774.79,1708.82,-2,40768,41078.61
1,20651,18459,KEXI-1,27020802,710887.46,5420998.24,-327723573#2,713499.79,5419755.04,1343,22311,317,3758.78,3758.78,-2,21851,22352.31
21,39363,18437,KEXI-1,27020802,710887.46,5420998.24,27886434,713356.88,5422209.94,371,40614,880,7845.17,4338.72,-2,40563,41187.56
18,35033,18343,KEXI-2,27090804#4,712153.54,5420413.07,-27544125,710428.72,5422955,1054,36733,646,5912.26,4950.52,-2,36233,36875.84
10,27795,14442,KEXI-1,27099647#0,710536.7,5423249.19,-26837724#4,711890.38,5420924.79,488,29138,855,7532.56,3918.5,-2,28995,29624.91
14,34057,14404,KEXI-2,27099647#0,710536.7,5423249.19,27391189#0,712517.18,5421117.76,553,35394,784,8436.52,4154.36,-2,35257,35895.24
49,61597,18154,KEXI-4,27182858#0,711496.29,5421159.36,27544221#0,709950.17,5422936.24,279,62485,609,5234.89,3571.43,-2,62797,63308.56
11,27891,15172,KEXI-2,27215463,711896.02,5421988.39,437343741#2,709593.27,5422993.9,296,28444,257,3122.1,3122.1,-2,29091,29474.65
67,76842,14715,KEXI-4,27215700,710972.28,5422313.85,-26791785#4,712387.77,5420794.23,371,77537,324,2852.61,2678.07,-2,78042,78497.3
15,34106,14041,KEXI-2,27215757#2,710518.07,5423199.09,26773112#1,710594.48,5421525.35,438,35648,1104,10691.16,2602.14,-2,35306,35715.46
39,54957,18047,KEXI-3,27391189#0,712517.18,5421117.76,-11812197#1,710381.24,5421685.97,243,55467,267,2664.45,2598.48,-2,56157,56552.88
42,57729,16277,KEXI-3,27391263#2,712280.32,5421121.23,-27100093,710233.12,5422419.28,703,58746,314,3502.26,3436.29,-2,58929,59430.36
20,37787,16292,KEXI-1,27391465,711994.76,5421104.15,-26526533#9,711320.42,5422654.25,371,38394,236,2882.65,2882.65,-2,38987,39353.55
32,48117,32511,KEXI-1,27391465,711994.76,5421104.15,-27544572#2,709059.54,5423211.92,162,49947,1668,11890.74,4645.13,-2,49317,49964.18
68,78328,18154,KEXI-3,27544221#0,709950.17,5422936.24,27182858#0,711496.29,5421159.36,357,78982,297,3343.88,3344.7,-2,79528,79960.93
62,74372,18058,KEXI-4,27687320#0,711168.33,5422506.5,428903527,713339.37,5420955,248,74947,327,6174.05,6174.05,-2,75572,76053.7
23,40220,18832,KEXI-1,27687812#1,712274.43,5422052.72,-26773155#1,709936.74,5422582.03,661,41548,667,6182.7,3333.27,-2,41420,41909.02
65,76231,14058,KEXI-4,27687812#1,712274.43,5422052.72,-27543676,710688.97,5422681.97,238,76923,454,5592.01,2045.68,-2,77431,77734.87
5,25440,18374,KEXI-1,27688060#0,712503.05,5422008.92,-27543676,710688.97,5422681.97,241,26048,367,2919.29,2240.75,-2,26640,26954
16,34637,17797,KEXI-1,27886223,713705.21,5421950.02,35048737#1,710360.52,5422855.5,386,35251,228,3974.09,3974.09,-2,35837,36174.59
40,57355,15429,KEXI-3,35048737#1,710360.52,5422855.5,27182739#0,711213.52,5421259.14,289,58160,516,3587.49,2775.29,-2,58555,58948.86
9,27701,17324,KEXI-1,437343741#2,709593.27,5422993.9,26837615#1,712005.01,5420673.26,330,29037,1006,8806.67,4219.61,-2,28901,29508.07
3,24393,17937,KEXI-2,4712335#0,711419.01,5421225.21,-327723573#2,713499.79,5419755.04,123,24785,269,2835.87,2835.87,-2,25593,25950.16
52,63943,15732,KEXI-3,4712335#3,711054.83,5421349.13,26791785#8,712324.94,5420556.33,259,64435,233,2063.46,1888.92,-2,65143,65399.65
34,48437,17329,KEXI-1,487455692#2,712199.3,5421069.35,-26801184,710459.64,5422544.95,375,49473,661,4669.43,3329.38,-2,49637,50185.74
25,41579,14898,KEXI-1,487456219#3,710461.55,5421663.32,27885581#0,713642.55,5421272.34,239,42233,415,4045.58,4045.58,-2,42779,43357.52
