date;BundeslandID;outOfHomeDuration;percentageChangeComparedToBeforeCorona
20200503;Bayern;5.89;-21
20200503;Nordrhein-Westfalen;5.59;-20
20200503;Hamburg;5.44;-23
20200503;Mecklenburg-Vorpommern;6.76;-9
20200503;Niedersachsen;6.2;-16
20200503;Deutschland;5.95;-18
20200503;Bremen;5.96;-20
20200503;Thüringen;6.5;-11
20200503;Saarland;5.74;-20
20200503;Sachsen-Anhalt;6.44;-10
20200503;Rheinland-Pfalz;6.390000000000001;-17
20200503;Schleswig-Holstein;6.04;-15
20200510;Baden-Württemberg;6.59;-12
20200510;Hessen;6.48;-14
20200510;Berlin;5.9;-18
20200510;Brandenburg;6.53;-5
20200510;Sachsen;6.66;-5
20200510;Bayern;6.54;-12
20200510;Nordrhein-Westfalen;6.04;-14
20200510;Hamburg;6.11;-13
20200510;Mecklenburg-Vorpommern;7.37;-1
20200510;Niedersachsen;6.76;-9
20200510;Deutschland;6.49;-11
20200510;Bremen;6.63;-11
20200510;Thüringen;7.08;-3
20200510;Saarland;6.390000000000001;-11
20200510;Sachsen-Anhalt;7.05;-1
20200510;Rheinland-Pfalz;6.95;-10
20200510;Schleswig-Holstein;6.62;-7
20200517;Baden-Württemberg;6.61;-11
20200517;Hessen;6.58;-12
20200517;Berlin;5.7700000000000005;-20
20200517;Brandenburg;6.47;-5
20200517;Sachsen;6.5200000000000005;-7
20200517;Bayern;6.6000000000000005;-12
20200517;Nordrhein-Westfalen;6.11;-13
20200517;Hamburg;5.74;-18
20200517;Mecklenburg-Vorpommern;7.08;-5
20200517;Niedersachsen;6.58;-11
20200517;Deutschland;6.47;-11
20200517;Bremen;6.2700000000000005;-16
20200517;Thüringen;6.95;-5
20200517;Saarland;6.45;-10
20200517;Sachsen-Anhalt;6.83;-4
20200517;Rheinland-Pfalz;7.04;-9
20200517;Schleswig-Holstein;6.33;-11
20200524;Baden-Württemberg;6.57;-12
20200524;Hessen;6.57;-12
20200524;Berlin;5.8500000000000005;-19
20200524;Brandenburg;6.47;-5
20200524;Sachsen;6.55;-7
20200524;Bayern;6.5600000000000005;-12
20200524;Nordrhein-Westfalen;6.0600000000000005;-14
20200524;Hamburg;5.83;-17
20200524;Mecklenburg-Vorpommern;7.21;-3
20200524;Niedersachsen;6.51;-12
20200524;Deutschland;6.44;-12
20200524;Bremen;6.29;-16
20200524;Thüringen;6.88;-6
20200524;Saarland;6.3100000000000005;-12
20200524;Sachsen-Anhalt;6.62;-7
20200524;Rheinland-Pfalz;6.95;-10
20200524;Schleswig-Holstein;6.44;-9
20200531;Baden-Württemberg;7.09;-5
20200531;Hessen;7.07;-6
20200531;Berlin;6.44;-11
20200531;Brandenburg;6.9;1
20200531;Sachsen;6.99;-1
20200531;Bayern;7.0;-6
20200531;Nordrhein-Westfalen;6.59;-6
20200531;Hamburg;6.45;-8
20200531;Mecklenburg-Vorpommern;7.98;7
20200531;Niedersachsen;7.0600000000000005;-4
20200531;Deutschland;6.95;-5
20200531;Bremen;6.96;-7
20200531;Thüringen;7.37;1
20200531;Saarland;6.87;-4
20200531;Sachsen-Anhalt;7.140000000000001;0
20200531;Rheinland-Pfalz;7.47;-3
20200531;Schleswig-Holstein;6.98;-2
20200607;Baden-Württemberg;6.71;-10
20200607;Hessen;6.75;-10
20200607;Berlin;6.28;-13
20200607;Brandenburg;6.8;-1
20200607;Sachsen;6.8100000000000005;-3
20200607;Bayern;6.74;-10
20200607;Nordrhein-Westfalen;6.21;-11
20200607;Hamburg;6.1000000000000005;-13
20200607;Mecklenburg-Vorpommern;7.82;5
20200607;Niedersachsen;6.72;-9
20200607;Deutschland;6.65;-9
20200607;Bremen;6.53;-12
20200607;Thüringen;7.0600000000000005;-3
20200607;Saarland;6.54;-8
20200607;Sachsen-Anhalt;6.98;-2
20200607;Rheinland-Pfalz;7.17;-7
20200607;Schleswig-Holstein;6.73;-5
20200614;Baden-Württemberg;6.84;-8
20200614;Hessen;6.87;-8
20200614;Berlin;6.92;-4
20200614;Brandenburg;7.07;3
20200614;Sachsen;7.19;2
20200614;Bayern;6.9;-8
20200614;Nordrhein-Westfalen;6.67;-5
20200614;Hamburg;6.59;-6
20200614;Mecklenburg-Vorpommern;8.1;9
20200614;Niedersachsen;7.12;-4
20200614;Deutschland;6.95;-5
20200614;Bremen;7.11;-5
20200614;Thüringen;7.44;2
20200614;Saarland;6.57;-8
20200614;Sachsen-Anhalt;7.36;3
20200614;Rheinland-Pfalz;7.24;-6
20200614;Schleswig-Holstein;7.04;-1
20200621;Baden-Württemberg;7.38;-1
20200621;Hessen;7.26;-3
20200621;Berlin;7.26;1
20200621;Brandenburg;7.09;4
20200621;Sachsen;7.3;4
20200621;Bayern;7.22;-3
20200621;Nordrhein-Westfalen;7.08;1
20200621;Hamburg;7.140000000000001;2
20200621;Mecklenburg-Vorpommern;8.11;9
20200621;Niedersachsen;7.2700000000000005;-2
20200621;Deutschland;7.28;0
20200621;Bremen;7.51;1
20200621;Thüringen;7.51;3
20200621;Saarland;7.01;-2
20200621;Sachsen-Anhalt;7.41;4
20200621;Rheinland-Pfalz;7.71;0
20200621;Schleswig-Holstein;7.42;5
20200628;Baden-Württemberg;7.62;2
20200628;Hessen;7.5;0
20200628;Berlin;7.33;2
20200628;Brandenburg;7.3;7
20200628;Sachsen;7.48;6
20200628;Bayern;7.68;3
20200628;Nordrhein-Westfalen;7.25;3
20200628;Hamburg;7.11;1
20200628;Mecklenburg-Vorpommern;8.21;11
20200628;Niedersachsen;7.44;1
20200628;Deutschland;7.5;3
20200628;Bremen;7.5600000000000005;2
20200628;Thüringen;7.73;6
20200628;Saarland;7.140000000000001;0
20200628;Sachsen-Anhalt;7.5600000000000005;6
20200628;Rheinland-Pfalz;7.8500000000000005;1
20200628;Schleswig-Holstein;7.49;6
20200705;Baden-Württemberg;7.65;3
20200705;Hessen;7.43;-1
20200705;Berlin;6.8500000000000005;-5
20200705;Brandenburg;7.16;5
20200705;Sachsen;7.41;5
20200705;Bayern;7.65;2
20200705;Nordrhein-Westfalen;7.0600000000000005;1
20200705;Hamburg;6.63;-6
20200705;Mecklenburg-Vorpommern;7.99;8
20200705;Niedersachsen;7.25;-2
20200705;Deutschland;7.37;1
20200705;Bremen;7.09;-5
20200705;Thüringen;7.66;5
20200705;Saarland;7.18;0
20200705;Sachsen-Anhalt;7.49;5
20200705;Rheinland-Pfalz;7.8;1
20200705;Schleswig-Holstein;7.0600000000000005;0
20200712;Baden-Württemberg;7.67;3
20200712;Hessen;7.3100000000000005;-3
20200712;Berlin;6.71;-7
20200712;Brandenburg;7.04;3
20200712;Sachsen;7.26;3
20200712;Bayern;7.63;2
20200712;Nordrhein-Westfalen;7.05;0
20200712;Hamburg;6.59;-6
20200712;Mecklenburg-Vorpommern;7.84;6
20200712;Niedersachsen;7.23;-2
20200712;Deutschland;7.32;0
20200712;Bremen;7.16;-4
