"id","x","y","type"
215,718455,5403801,"building"
216,718455,5403801,"building"
217,718455,5403801,"building"
218,718455,5403801,"building"
219,718455,5403801,"building"
220,718455,5403801,"building"
221,718455,5403801,"building"
222,718455,5403801,"building"
223,718455,5403801,"building"
224,718455,5403801,"building"
225,718655,5403801,"building"
226,718655,5403801,"building"
227,718655,5403801,"building"
228,718655,5403801,"building"
229,718655,5403801,"building"
230,718655,5403801,"building"
231,718655,5403801,"building"
232,718655,5403801,"building"
233,718655,5403801,"building"
234,718655,5403801,"building"
235,718655,5403801,"building"
236,718655,5403801,"building"
237,718655,5403801,"building"
238,718655,5403801,"building"
239,718655,5403801,"building"
240,718655,5403801,"building"
241,718655,5403801,"building"
242,718655,5403801,"building"
243,718655,5403801,"building"
244,718655,5403801,"building"
245,718655,5403801,"building"
246,718655,5403801,"building"
247,718655,5403801,"building"
248,718655,5403801,"building"
249,718655,5403801,"building"
250,718655,5403801,"building"
251,718655,5403801,"building"
252,718655,5403801,"building"
253,718655,5403801,"building"
254,718855,5403801,"building"
255,718855,5403801,"building"
256,718855,5403801,"building"
257,718855,5403801,"building"
258,718855,5403801,"building"
259,718855,5403801,"building"
260,718855,5403801,"building"
261,719055,5403801,"building"
262,719055,5403801,"building"
263,716455,5404001,"building"
264,716455,5404001,"building"
265,716655,5404001,"building"
266,718255,5404001,"building"
267,718455,5404001,"building"
268,718655,5404001,"building"
269,718655,5404001,"building"
270,718655,5404001,"building"
271,718655,5404001,"building"
272,718655,5404001,"building"
273,718655,5404001,"building"
274,718655,5404001,"building"
275,718655,5404001,"building"
276,718655,5404001,"building"
277,718655,5404001,"building"
278,718655,5404001,"building"
279,718655,5404001,"building"
280,718655,5404001,"building"
281,718655,5404001,"building"
282,718655,5404001,"building"
283,718655,5404001,"building"
284,718655,5404001,"building"
285,718655,5404001,"building"
286,718655,5404001,"building"
287,718655,5404001,"building"
288,718655,5404001,"building"
289,718655,5404001,"building"
290,718655,5404001,"building"
291,718655,5404001,"building"
292,718655,5404001,"building"
293,718655,5404001,"building"
294,718655,5404001,"building"
295,718655,5404001,"building"
296,718655,5404001,"building"
297,718655,5404001,"building"
298,718655,5404001,"building"
299,718655,5404001,"building"
300,718655,5404001,"building"
301,718655,5404001,"building"
302,718655,5404001,"building"
303,718655,5404001,"building"
304,718655,5404001,"building"
305,718655,5404001,"building"
306,718655,5404001,"building"
307,718655,5404001,"building"
308,718655,5404001,"building"
309,718655,5404001,"building"
310,718655,5404001,"building"
311,718655,5404001,"building"
312,718655,5404001,"building"
313,718655,5404001,"building"
314,718655,5404001,"building"
315,718655,5404001,"building"
316,718655,5404001,"building"
317,718655,5404001,"building"
318,718655,5404001,"building"
319,718655,5404001,"building"
320,718655,5404001,"building"
321,718655,5404001,"building"
322,718655,5404001,"building"
323,718655,5404001,"building"
324,718655,5404001,"building"
325,718655,5404001,"building"
326,718655,5404001,"building"
327,718655,5404001,"building"
328,718655,5404001,"building"
329,718655,5404001,"building"
330,718655,5404001,"building"
331,718855,5404001,"building"
332,718855,5404001,"building"
333,718855,5404001,"building"
334,718855,5404001,"building"
335,718855,5404001,"building"
336,718655,5404201,"building"
337,718655,5404201,"building"
338,718655,5404201,"building"
339,718655,5404201,"building"
340,718655,5404201,"building"
341,718655,5404201,"building"
342,718655,5404201,"building"
343,718655,5404201,"building"
344,718655,5404201,"building"
345,718655,5404201,"building"
346,718655,5404201,"building"
347,718655,5404201,"building"
348,718655,5404201,"building"
349,718855,5404201,"building"
350,718855,5404201,"building"
351,718855,5404201,"building"
352,718855,5404201,"building"
353,718855,5404201,"building"
354,718855,5404201,"building"
355,719055,5404201,"building"
356,719055,5404201,"building"
357,719055,5404201,"building"
358,719055,5404201,"building"
359,719055,5404201,"building"
360,719055,5404201,"building"
361,719055,5404201,"building"
362,719055,5404201,"building"
363,719055,5404201,"building"
364,719055,5404201,"building"
365,719055,5404201,"building"
366,719255,5404201,"building"
367,718655,5404401,"building"
368,718655,5404401,"building"
369,718655,5404401,"building"
370,718655,5404401,"building"
371,718655,5404401,"building"
372,719255,5404401,"building"
373,719455,5404401,"building"
374,719455,5404401,"building"
375,719455,5404401,"building"
376,719455,5404401,"building"
377,719455,5404401,"building"
378,719455,5404401,"building"
379,719455,5404401,"building"
380,719455,5404401,"building"
381,719455,5404401,"building"
382,719455,5404401,"building"
383,719455,5404401,"building"
384,719655,5404401,"building"
385,719655,5404401,"building"
386,719655,5404401,"building"
387,719655,5404401,"building"
388,719655,5404401,"building"
389,720655,5404401,"building"
390,720655,5404401,"building"
391,720655,5404401,"building"
392,720655,5404401,"building"
393,720655,5404401,"building"
394,720655,5404401,"building"
395,720655,5404401,"building"
396,720655,5404401,"building"
397,720655,5404401,"building"
398,720655,5404401,"building"
399,720655,5404401,"building"
400,720655,5404401,"building"
401,720655,5404401,"building"
402,720655,5404401,"building"
403,720855,5404401,"building"
404,718655,5404601,"building"
405,719455,5404601,"building"
406,719455,5404601,"building"
407,719455,5404601,"building"
408,719455,5404601,"building"
409,719455,5404601,"building"
410,719455,5404601,"building"
411,719455,5404601,"building"
412,719455,5404601,"building"
413,719455,5404601,"building"
414,719455,5404601,"building"
415,719455,5404601,"building"
416,719455,5404601,"building"
417,719455,5404601,"building"
418,719655,5404601,"building"
419,726055,5404601,"building"
420,726055,5404601,"building"
421,726055,5404601,"building"
422,726055,5404601,"building"
423,726055,5404601,"building"
424,726055,5404601,"building"
425,726255,5404601,"building"
426,726255,5404601,"building"
427,726255,5404601,"building"
428,726255,5404601,"building"
429,726255,5404601,"building"
430,726255,5404601,"building"
431,726255,5404601,"building"
432,717455,5404801,"building"
433,721455,5404801,"building"
434,721455,5404801,"building"
435,721455,5404801,"building"
436,721655,5404801,"building"
437,721655,5404801,"building"
438,721655,5404801,"building"
439,721655,5404801,"building"
440,721655,5404801,"building"
441,721655,5404801,"building"
442,721655,5404801,"building"
443,721655,5404801,"building"
444,721655,5404801,"building"
445,721655,5404801,"building"
446,721655,5404801,"building"
447,726055,5404801,"building"
448,726055,5404801,"building"
449,726055,5404801,"building"
450,726255,5404801,"building"
451,726255,5404801,"building"
452,717455,5405001,"building"
453,717655,5405001,"building"
454,717855,5405001,"building"
455,717855,5405001,"building"
456,718055,5405001,"building"
457,718055,5405001,"building"
458,718055,5405001,"building"
459,721455,5405001,"building"
460,721455,5405001,"building"
461,721655,5405001,"building"
462,721655,5405001,"building"
463,721655,5405001,"building"
464,721655,5405001,"building"
465,721655,5405001,"building"
466,721655,5405001,"building"
467,721655,5405001,"building"
468,726055,5405001,"building"
469,726455,5405001,"building"
470,726455,5405001,"building"
471,726455,5405001,"building"
472,726455,5405001,"building"
473,726455,5405001,"building"
474,726455,5405001,"building"
475,726455,5405001,"building"
476,718055,5405201,"building"
477,718055,5405201,"building"
478,718055,5405201,"building"
479,718055,5405201,"building"
480,718055,5405201,"building"
481,718055,5405201,"building"
482,718055,5405201,"building"
483,718055,5405201,"building"
484,718055,5405201,"building"
485,718255,5405201,"building"
486,718255,5405201,"building"
487,718255,5405201,"building"
488,718255,5405201,"building"
489,718255,5405201,"building"
490,718255,5405201,"building"
491,718255,5405201,"building"
492,718255,5405201,"building"
493,718255,5405201,"building"
494,718255,5405201,"building"
495,718255,5405201,"building"
496,718255,5405201,"building"
497,718255,5405201,"building"
