linkId;population;weight
-126901011;1;2.355435166647038E-5
-60412480;23;5.417500883288188E-4
-490376590;13;3.062065716641149E-4
-491889185;27;6.359674949947003E-4
-60412451;1;2.355435166647038E-5
322183363;9;2.119891649982334E-4
-33705817;86;0.002025674243316453
-36905408#0;24;5.653044399952891E-4
-490377437#0;80;0.0018843481333176305
-88922407;0;0.0
-36905626#4;53;0.0012483806383229302
-27214564#0;77;0.0018136850783182193
-88922424#0;1;2.355435166647038E-5
-55991324#1;2;4.710870333294076E-5
-88922391;2;4.710870333294076E-5
-64032196#1;2;4.710870333294076E-5
-27213432#3;80;0.0018843481333176305
-286465491;53;0.0012483806383229302
-330196953#5;35;8.244023083264633E-4
-59593669;0;0.0
-170885034#2;50;0.001177717583323519
-170871431#1;92;0.002167000353315275
-60412748#1;0;0.0
-60412748#0;4;9.421740666588152E-5
-191799653;1;2.355435166647038E-5
-497751092;11;2.590978683311742E-4
-28182655#4;173;0.004074902838299376
-522209372;38;8.950653633258745E-4
-24509693#3;60;0.0014132610999882229
-24509700#2;30;7.066305499941114E-4
-74531033#2;91;0.0021434460016488046
-373181456;149;0.003509598398304087
-440328189#1;1;2.355435166647038E-5
-33794726#0;34;8.008479566599929E-4
-25403458#0;7;1.6488046166529267E-4
-256417610#1;174;0.004098457189965846
-81512531;7;1.6488046166529267E-4
-25403437#0;60;0.0014132610999882229
-787515007#2;81;0.0019079024849841008
-24907912;5;1.177717583323519E-4
-24907909#1;1;2.355435166647038E-5
-24907868#0;13;3.062065716641149E-4
-24907871;21;4.94641384995878E-4
-640060931#1;2;4.710870333294076E-5
-324982041;1;2.355435166647038E-5
-33794714;1;2.355435166647038E-5
-81512523#2;32;7.537392533270522E-4
-30976501#0;0;0.0
-427556585;16;3.768696266635261E-4
-172450793#2;26;6.124131433282298E-4
-89749401;1;2.355435166647038E-5
-172450814#1;5;1.177717583323519E-4
-89749390;3;7.066305499941114E-5
-62310751#1;24;5.653044399952891E-4
-987183629;73;0.0017194676716523378
-81512526;3;7.066305499941114E-5
-367424571#2;59;0.0013897067483217525
-26994530#2;70;0.0016488046166529267
-89469727#1;65;0.0015310328583205747
-172450858;0;0.0
-190134941#0;2;4.710870333294076E-5
-89469719;0;0.0
-172450813;1;2.355435166647038E-5
-494493319;16;3.768696266635261E-4
-490316434;2;4.710870333294076E-5
-367421962;4;9.421740666588152E-5
-37845875;18;4.239783299964668E-4
-271242339;5;1.177717583323519E-4
-40316224;40;9.421740666588152E-4
-40346421#1;3;7.066305499941114E-5
-367421963#0;29;6.83076198327641E-4
-51925975#1;8;1.8843481333176304E-4
-214284461#1;26;6.124131433282298E-4
-172436231;3;7.066305499941114E-5
-486791765#1;4;9.421740666588152E-5
-25335430#2;15;3.533152749970557E-4
-172450818;8;1.8843481333176304E-4
-132132631;7;1.6488046166529267E-4
-30645565#0;3;7.066305499941114E-5
-88507457;231;0.0054410552349546575
-25335430#1;48;0.0011306088799905782
-28292472#0;2;4.710870333294076E-5
-172436253;3;7.066305499941114E-5
-172436247#1;1;2.355435166647038E-5
-25403873#4;5;1.177717583323519E-4
-24907895#1;1;2.355435166647038E-5
-25335601#0;77;0.0018136850783182193
