mode,dist_group,share
walk,0 - 1000,0.102543268
walk,1000 - 2000,0.029498104
walk,2000 - 5000,0.028461432
walk,5000 - 10000,0.008579926
walk,10000 - 20000,0.001828405
walk,20000 - 50000,0
walk,50000 - 100000,0
walk,100000+,0
bike,0 - 1000,0.026961133
bike,1000 - 2000,0.016672841
bike,2000 - 5000,0.017514728
bike,5000 - 10000,0.005147955
bike,10000 - 20000,0.003656811
bike,20000 - 50000,0.001432386
bike,50000 - 100000,0.000357754
bike,100000+,0
car,0 - 1000,0.050019919
car,1000 - 2000,0.053866103
car,2000 - 5000,0.105088365
car,5000 - 10000,0.104675091
car,10000 - 20000,0.117017937
car,20000 - 50000,0.091672704
car,50000 - 100000,0.020034234
car,100000+,0.009707762
ride,0 - 1000,0.015683721
ride,1000 - 2000,0.014107789
ride,2000 - 5000,0.030650773
ride,5000 - 10000,0.027455762
ride,10000 - 20000,0.032911295
ride,20000 - 50000,0.024350562
ride,50000 - 100000,0.007512838
ride,100000+,0.004247146
pt,0 - 1000,0
pt,1000 - 2000,0.001282526
pt,2000 - 5000,0.008757364
pt,5000 - 10000,0.012011896
pt,10000 - 20000,0.010970432
pt,20000 - 50000,0.008594316
pt,50000 - 100000,0.00429305
pt,100000+,0.00242694
